Date,Price_Lithium,Price_SouthAmericaLOB,Price_Lithium_Hydroxide,Price_Lithium_Americas,Price_EastAsia_Lithium_Carbonate,Price_EastAsia_Lithium_Carbonate_Battery_Grade,Price_LME_Lithium,Dailymetal,South America,Lithium Carboxyde COMEX,Lithium Americas Corp,East Asia,East Asia Battery Grade,Lithium Carboxyde LME
2023-10-18,23.857,28250.0,24.0,8.16,23.32,23.25,23886.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-15,20.507,28250.0,21.0,7.54,19.87,18.88,21488.64,-0.140420002514985,0.0,-0.125,-0.07598039215686281,-0.14794168096054883,-0.18795698924731186,-0.1003803007239279
2023-11-15,20.507,28250.0,21.0,7.54,19.87,18.88,21488.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,17.748,23750.0,21.0,6.6,17.85,16.94,20693.18,-0.13453942556200327,-0.15929203539823011,0.0,-0.12466843501326264,-0.10166079516859583,-0.10275423728813549,-0.037017698653800335
2023-11-29,17.748,23750.0,21.0,6.6,17.85,16.94,20693.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,13.584,20000.0,17.0,6.44,17.12,16.63,16992.86,-0.23461798512508458,-0.1578947368421053,-0.19047619047619047,-0.024242424242424176,-0.04089635854341733,-0.018299881936245654,-0.17881833531627322
2023-12-13,13.584,20000.0,17.0,6.44,17.12,16.63,16992.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-27,13.501,18750.0,17.0,6.78,18.26,17.83,16771.88,-0.006110129564193212,-0.0625,0.0,0.052795031055900665,0.06658878504672905,0.07215874924834642,-0.01300428532925002
2023-12-27,13.501,18750.0,17.0,6.78,18.26,17.83,16771.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,13.32,16000.0,15.0,5.87,12.55,12.36,14897.73,-0.013406414339678485,-0.1466666666666666,-0.11764705882352944,-0.13421828908554578,-0.3127053669222344,-0.3067863151991026,-0.11174358509600602
2024-01-10,13.32,16000.0,15.0,5.87,12.55,12.36,14897.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-24,13.346,16000.0,15.0,4.73,16.05,15.91,14627.73,0.001951951951951969,0.0,0.0,-0.1942078364565587,0.2788844621513944,0.28721682847896446,-0.01812356647623492
2024-01-24,13.346,16000.0,15.0,4.73,16.05,15.91,14627.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,13.552,15250.0,13.0,4.07,14.28,13.88,13250.0,0.015435336430391189,-0.046875,-0.1333333333333333,-0.13953488372093026,-0.1102803738317758,-0.12759270898805775,-0.09418617926363149
2024-02-07,13.552,15250.0,13.0,4.07,14.28,13.88,13250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-21,13.28,13750.0,13.0,4.33,14.66,14.63,13250.0,-0.02007083825265643,-0.09836065573770492,0.0,0.06388206388206386,0.02661064425770321,0.054034582132564735,0.0
2024-02-21,13.28,13750.0,13.0,4.33,14.66,14.63,13250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,15.071,13750.0,14.0,5.36,15.13,14.79,13250.0,0.1348644578313254,0.0,0.07692307692307687,0.23787528868360286,0.03206002728512969,0.010936431989063466,0.0
2024-03-06,15.071,13750.0,14.0,5.36,15.13,14.79,13250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,16.046,13750.0,13.0,5.99,16.86,16.56,13273.5,0.06469378276159499,0.0,-0.0714285714285714,0.11753731343283569,0.11434236615994697,0.1196754563894522,0.0017735849056603747
2024-03-20,16.046,13750.0,13.0,5.99,16.86,16.56,13273.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,14.995,13425.0,14.0,7.09,17.54,17.12,13150.0,-0.06549918982924097,-0.023636363636363678,0.07692307692307687,0.18363939899833048,0.04033214709371302,0.0338164251207731,-0.009304252834595239
2024-04-03,14.995,13425.0,14.0,7.09,17.54,17.12,13150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,15.403,13775.0,14.0,6.63,16.09,15.6,13752.38,0.02720906968989678,0.026070763500931182,0.0,-0.06488011283497885,-0.0826681870011402,-0.08878504672897203,0.04580836501901131
2024-04-17,15.403,13775.0,14.0,6.63,16.09,15.6,13752.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,15.26,13675.0,14.0,4.35,17.66,17.4,14350.0,-0.009283905732649478,-0.007259528130671544,0.0,-0.3438914027149321,0.09757613424487266,0.11538461538461542,0.04345575093183873
2024-05-01,15.26,13675.0,14.0,4.35,17.66,17.4,14350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,14.598,13675.0,14.0,4.39,15.53,15.03,14290.91,-0.043381389252948876,0.0,0.0,0.009195402298850519,-0.12061155152887881,-0.13620689655172413,-0.00411777003484326
2024-05-15,14.598,13675.0,14.0,4.39,15.53,15.03,14290.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,13.444,13675.0,14.0,2.99,11.37,11.66,13557.5,-0.07905192492122204,0.0,0.0,-0.31890660592255116,-0.2678686413393432,-0.2242182302062541,-0.05132003490330561
2024-06-12,13.444,13675.0,14.0,2.99,11.37,11.66,13557.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,12.588,12500.0,13.0,2.71,14.17,13.59,13517.5,-0.06367152633144912,-0.08592321755027421,-0.0714285714285714,-0.09364548494983282,0.24626209322779258,0.16552315608919388,-0.0029503964595242183
2024-06-26,12.588,12500.0,13.0,2.71,14.17,13.59,13517.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,12.457,11860.0,12.0,2.58,12.62,12.26,11928.26,-0.010406736574515296,-0.05120000000000002,-0.07692307692307687,-0.047970479704797064,-0.10938602681721954,-0.09786607799852831,-0.11756907712224896
2024-07-10,12.457,11860.0,12.0,2.58,12.62,12.26,11928.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,11.844,11550.0,12.0,2.66,13.66,13.39,11982.61,-0.049209279922935,-0.02613827993254636,0.0,0.03100775193798455,0.08240887480190184,0.09216965742251237,0.004556406382825395
2024-07-24,11.844,11550.0,12.0,2.66,13.66,13.39,11982.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,11.084,11550.0,11.0,2.23,13.87,13.45,11300.91,-0.06416751097602158,0.0,-0.08333333333333337,-0.16165413533834594,0.015373352855051259,0.004480955937266495,-0.05689077755180216
2024-08-07,11.084,11550.0,11.0,2.23,13.87,13.45,11300.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,10.296,10375.0,11.0,2.8,12.62,12.64,10930.45,-0.07109346806207151,-0.10173160173160178,0.0,0.25560538116591913,-0.0901225666906994,-0.06022304832713743,-0.03278143087592056
2024-08-21,10.296,10375.0,11.0,2.8,12.62,12.64,10930.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,10.587,10375.0,11.0,2.36,15.84,15.62,10550.0,0.028263403263403264,0.0,0.0,-0.15714285714285714,0.25515055467511893,0.235759493670886,-0.0348064352336821
2024-09-04,10.587,10375.0,11.0,2.36,15.84,15.62,10550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18,10.261,10375.0,10.0,2.34,12.37,11.94,10035.24,-0.030792481345045863,0.0,-0.09090909090909094,-0.008474576271186418,-0.21906565656565657,-0.23559539052496803,-0.048792417061611415
2024-09-18,10.261,10375.0,10.0,2.34,12.37,11.94,10035.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16,10.321,9000.0,10.0,3.29,12.17,11.58,9560.87,0.005847383295975117,-0.1325301204819277,0.0,0.4059829059829061,-0.01616814874696837,-0.03015075376884413,-0.04727041904329132
2024-10-16,10.321,9000.0,10.0,3.29,12.17,11.58,9560.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,10.189,9000.0,10.0,4.11,12.04,11.42,9497.83,-0.012789458385815244,0.0,0.0,0.2492401215805471,-0.010682004930156141,-0.013816925734024155,-0.006593542219484272
2024-10-30,10.189,9000.0,10.0,4.11,12.04,11.42,9497.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-27,10.841,9600.0,9.0,3.95,11.62,11.41,8933.33,0.0639905780743939,0.06666666666666665,-0.09999999999999998,-0.03892944038929447,-0.03488372093023251,-0.0008756567425568518,-0.05943462875204131
2024-11-27,10.841,9600.0,9.0,3.95,11.62,11.41,8933.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,10.537,10000.0,9.0,3.37,11.56,11.1,9400.0,-0.02804169357070363,0.04166666666666674,0.0,-0.1468354430379747,-0.005163511187607495,-0.02716914986853647,0.052239198596715886
2024-12-11,10.537,10000.0,9.0,3.37,11.56,11.1,9400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
